id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
390092,"Ticket to Ride Legacy: Legends of the West",2023,101,7.5714,8.68981,4356,0,,,,8,,,,
256916,"Concordia Venus",2018,102,7.56844,8.27132,6628,0,,,,,,60,,
62219,"Dominant Species",2010,103,7.56614,7.8068,21765,0,,,,,,86,,
68448,"7 Wonders",2010,104,7.56219,7.67371,108104,0,,,,19,,114,,
279537,"The Search for Planet X",2020,105,7.56201,7.92694,13832,0,,,,,,80,,
121921,"Robinson Crusoe: Adventures on the Cursed Island",2012,106,7.56065,7.73396,45003,0,,,,,,,31,
171623,"The Voyages of Marco Polo",2015,107,7.55896,7.7724,25539,0,,,,,,90,,
380607,"Great Western Trail: New Zealand",2023,108,7.55326,8.54848,4772,0,,,,,,49,,
225694,Decrypto,2018,109,7.54462,7.76817,24616,0,,,,,2,,,
277659,"Final Girl",2021,110,7.54325,8.24581,8236,0,,,,,,,23,
240980,"Blood on the Clocktower",2022,111,7.53857,8.35059,7463,0,,,,,1,85,,
155821,Inis,2016,112,7.53726,7.82279,21423,0,,,,,,100,,
364073,"Splendor Duel",2022,113,7.53631,7.90556,14586,0,,,,18,,96,,
163068,"Trickerion: Legends of Illusion",2015,114,7.53349,7.97044,11598,0,,,,,,79,,
37111,"Battlestar Galactica: The Board Game",2008,115,7.53231,7.72931,37006,0,,,,,,,32,
236457,"Architects of the West Kingdom",2018,116,7.52743,7.72255,30650,0,,,,,,103,,
310873,Carnegie,2022,117,7.52639,7.99207,10406,0,,,,,,78,,
264220,"Tainted Grail: The Fall of Avalon",2019,118,7.5262,8.06303,13189,0,,,,,,,28,
418059,"SETI: Search for Extraterrestrial Intelligence",2024,119,7.51589,8.38376,5784,0,,,,,,69,,
217372,"The Quest for El Dorado",2017,120,7.51511,7.7012,28553,0,,,,20,,,,
122515,Keyflower,2012,121,7.51404,7.71845,23711,0,,,,,,101,,
42,"Tigris & Euphrates",1997,122,7.51255,7.70199,29206,0,,,,,,104,,
170042,"Raiders of the North Sea",2015,123,7.51233,7.73008,25190,0,,,,,,108,,
271055,"Dwellings of Eldervale",2020,124,7.51225,8.13251,8233,0,,,,,,76,,
337627,Voidfall,2023,125,7.51147,8.54831,4925,0,,,,,,62,,
40834,"Dominion: Intrigue",2009,126,7.51085,7.68969,34130,0,,,,,,115,,
18602,Caylus,2005,127,7.50676,7.71139,29494,0,,,,,,106,,
203993,"Lorenzo il Magnifico",2016,128,7.50251,7.84074,14431,0,,,,,,94,,
73439,Troyes,2010,129,7.50216,7.71119,24160,0,,,,,,102,,
146021,"Eldritch Horror",2013,130,7.50113,7.74522,37606,0,,,,,,,37,
12,Ra,1999,131,7.49939,7.66398,28207,0,,,,,,111,,
359871,Arcs,2024,132,7.49705,8.14395,8741,0,,,,,,92,,29
172386,Mombasa,2015,133,7.49615,7.84479,13539,0,,,,,,93,,
269385,"The Lord of the Rings: Journeys in Middle-Earth",2019,134,7.49204,7.90136,17291,0,,,,,,,30,
310100,"Nemesis: Lockdown",2022,135,7.49151,8.30302,6798,0,,,,,,,26,
12493,"Twilight Imperium: Third Edition",2005,136,7.48269,7.78936,19393,0,,,,,,121,34,
163412,Patchwork,2014,137,7.48147,7.5888,69503,0,5,,,22,,,,
36218,Dominion,2008,138,7.47827,7.59778,93350,0,,,,,,138,,
102680,Trajan,2011,139,7.47777,7.74833,18219,0,,,,,,105,,
4098,"Age of Steam",2002,140,7.47761,7.85337,11820,0,,,,,,95,,
144733,"Russian Railroads",2013,141,7.47528,7.72858,18383,0,,,,,,110,,
218417,"Aeon's End: War Eternal",2017,142,7.47037,8.24942,6123,0,,,,,,84,,
180263,"The 7th Continent",2017,143,7.46671,7.77047,22725,0,,,,,,,38,
43015,"Hansa Teutonica",2009,144,7.46581,7.74145,16323,0,,,,,,107,,
227935,"Wonderland's War",2022,145,7.46388,8.0661,8478,0,,,,,,99,,
205896,"Rising Sun",2018,146,7.46358,7.76506,22137,0,,,,,,128,,
175640,"Vinhos: Deluxe Edition",2016,147,7.45918,8.07793,7322,0,,,,,,89,,
410201,Wyrmspan,2024,148,7.44995,8.02257,9638,0,,,,,,118,,
196340,Yokohama,2016,149,7.44783,7.80675,12573,0,,,,,,112,,
233371,"Clank! In! Space!: A Deck-Building Adventure",2017,150,7.44614,7.77511,15165,0,,,,21,,122,,
198928,Iberia,2016,151,7.44605,7.88096,11256,0,,,,,,117,,
175155,"Forbidden Stars",2015,152,7.44145,7.97596,9576,0,,,,,,113,,
178900,Codenames,2015,153,7.44082,7.53568,96923,0,,,,,5,,,
254640,"Just One",2018,154,7.43848,7.60034,30799,0,,,,,3,,,
172287,"Champions of Midgard",2015,155,7.432,7.71513,18072,0,,,,,,129,,
325494,"ISS Vanguard",2022,156,7.4243,8.48698,5510,0,,,,,,,22,
132531,"Roll for the Galaxy",2014,157,7.42306,7.57995,32567,0,,,,,,136,,
266524,PARKS,2019,158,7.42225,7.64689,27962,0,,,,26,,,,
30549,Pandemic,2008,159,7.42023,7.52728,129604,0,,,,35,,169,,
220877,"Rajas of the Ganges",2017,160,7.41968,7.72688,14985,0,,,,,,125,,
118048,Targi,2012,161,7.41564,7.60257,24910,0,,,,,,135,,
